"","V1","V2","V3","V4","V5","V6"
"2340",2133,28,48,NA,NA,NA
"2341",2134,7,10,11,18,20
"2342",23,28,37,NA,NA,NA
"2343",2135,3,14,18,37,47
"2344",2136,16,20,32,46,NA
"2345",2137,23,24,40,41,43
"2346",2138,5,22,37,45,NA
"2347",2139,10,17,40,NA,NA
"2348",2140,7,15,49,NA,NA
"2349",2141,5,22,40,NA,NA
"2350",2142,12,26,28,44,NA
"2351",2143,19,25,32,NA,NA
"2352",2144,16,17,28,32,45
"2353",2145,20,23,42,47,NA
"2354",2146,27,33,42,NA,NA
"2355",2147,10,15,33,NA,NA
"2356",2148,43,NA,NA,NA,NA
"2357",2149,7,15,19,37,49
"2358",2150,23,24,40,41,43
"2359",2151,7,11,18,37,45
"2360",46,NA,NA,NA,NA,NA
"2361",2152,4,6,9,36,48
"2362",2153,7,15,49,NA,NA
"2363",2154,33,44,NA,NA,NA
"2364",2155,1,13,22,NA,NA
"2365",2156,15,23,36,NA,NA
"2366",2157,13,35,NA,NA,NA
"2367",2158,37,39,NA,NA,NA
"2368",2159,6,17,24,NA,NA
"2369",2160,24,27,28,39,48
"2370",2161,2,7,11,37,45
"2371",2162,11,23,45,46,NA
"2372",2163,4,9,16,28,NA
"2373",2164,1,10,23,28,46
"2374",2165,23,24,40,41,43
"2375",2166,0,17,43,NA,NA
"2376",2167,3,18,35,NA,NA
"2377",2168,0,7,13,14,16
"2378",17,32,45,NA,NA,NA
"2379",2169,5,14,17,38,NA
"2380",2170,4,9,27,32,NA
"2381",2171,7,11,37,45,NA
"2382",2172,4,9,NA,NA,NA
"2383",2173,7,15,17,37,49
"2384",2174,15,22,24,27,32
"2385",42,NA,NA,NA,NA,NA
"2386",2175,6,44,NA,NA,NA
"2387",2176,5,15,22,NA,NA
"2388",2177,12,31,36,NA,NA
"2389",2178,0,25,NA,NA,NA
"2390",2179,4,5,NA,NA,NA
"2391",2180,13,28,41,NA,NA
"2392",2181,15,16,24,32,43
"2393",2182,0,17,29,47,NA
"2394",2183,14,24,31,44,NA
"2395",2184,9,14,27,28,29
"2396",2185,27,28,42,46,49
"2397",2186,8,33,42,NA,NA
"2398",2187,9,17,27,28,NA
"2399",2188,0,2,46,NA,NA
"2400",2189,2,11,26,34,NA
"2401",2190,22,25,27,28,NA
"2402",2191,23,24,40,41,43
"2403",2192,1,6,9,11,26
"2404",2193,27,28,NA,NA,NA
"2405",2194,22,37,47,NA,NA
"2406",2195,3,9,18,33,34
"2407",35,NA,NA,NA,NA,NA
"2408",2196,2,17,47,NA,NA
"2409",2197,23,24,40,41,43
"2410",2198,17,26,34,47,NA
"2411",2199,7,10,13,22,NA
"2412",2200,5,20,22,NA,NA
"2413",2201,23,24,30,40,41
"2414",43,NA,NA,NA,NA,NA
"2415",2202,26,NA,NA,NA,NA
"2416",2203,1,19,20,NA,NA
"2417",2204,17,29,47,NA,NA
"2418",2205,8,15,36,NA,NA
"2419",2206,31,NA,NA,NA,NA
"2420",2207,17,47,NA,NA,NA
"2421",2208,1,NA,NA,NA,NA
"2422",2209,7,11,37,NA,NA
"2423",2210,7,11,15,36,49
"2424",2211,5,7,11,37,45
"2425",2212,0,2,22,46,NA
"2426",2213,2,8,17,20,45
"2427",49,NA,NA,NA,NA,NA
"2428",2214,12,29,NA,NA,NA
"2429",2215,7,11,16,17,19
"2430",33,37,45,NA,NA,NA
"2431",2216,6,22,42,NA,NA
"2432",2217,7,8,15,18,49
"2433",2218,1,19,30,42,NA
"2434",2219,4,23,25,49,NA
"2435",2220,3,18,35,NA,NA
"2436",2221,0,30,33,NA,NA
"2437",2222,43,NA,NA,NA,NA
"2438",2223,18,35,44,NA,NA
"2439",2224,26,31,NA,NA,NA
"2440",2225,9,40,NA,NA,NA
"2441",2226,4,8,33,42,NA
"2442",2227,14,34,NA,NA,NA
"2443",2228,18,35,NA,NA,NA
"2444",2229,5,33,42,NA,NA
"2445",2230,11,NA,NA,NA,NA
"2446",2231,0,7,21,NA,NA
"2447",2232,7,9,15,NA,NA
"2448",2233,3,18,35,NA,NA
"2449",2234,22,45,NA,NA,NA
"2450",2235,18,30,35,37,NA
"2451",2236,1,19,28,39,NA
"2452",2237,7,15,49,NA,NA
"2453",2238,10,16,24,31,NA
"2454",2239,3,12,NA,NA,NA
"2455",2240,0,2,46,NA,NA
"2456",2241,9,16,24,32,45
"2457",2242,1,5,17,22,27
"2458",42,NA,NA,NA,NA,NA
"2459",2243,0,12,31,36,NA
"2460",2244,1,49,NA,NA,NA
"2461",2245,6,16,34,NA,NA
"2462",2246,1,12,48,NA,NA
"2463",2247,12,31,36,48,NA
"2464",2248,0,2,21,46,NA
"2465",2249,2,12,34,NA,NA
"2466",2250,5,22,NA,NA,NA
"2467",2251,27,28,44,NA,NA
"2468",2252,3,27,28,NA,NA
"2469",2253,17,NA,NA,NA,NA
"2470",2254,21,38,NA,NA,NA
"2471",2255,7,18,46,47,NA
"2472",2256,3,21,33,42,NA
"2473",2257,30,31,33,NA,NA
"2474",2258,23,24,40,41,43
"2475",2259,1,19,NA,NA,NA
"2476",2260,20,NA,NA,NA,NA
"2477",2261,3,23,24,29,42
"2478",44,NA,NA,NA,NA,NA
"2479",2262,20,28,NA,NA,NA
"2480",2263,29,31,36,45,NA
"2481",2264,0,6,7,8,13
"2482",15,44,NA,NA,NA,NA
"2483",2265,16,32,45,NA,NA
"2484",2266,16,32,45,NA,NA
"2485",2267,3,18,35,NA,NA
"2486",2268,17,29,47,NA,NA
"2487",2269,17,29,47,NA,NA
"2488",2270,21,NA,NA,NA,NA
"2489",2271,2,13,42,46,NA
"2490",2272,16,21,32,NA,NA
"2491",2273,3,18,29,31,35
"2492",2274,12,17,25,28,31
"2493",35,36,39,NA,NA,NA
"2494",2275,10,42,NA,NA,NA
"2495",2276,14,34,44,NA,NA
"2496",2277,0,21,46,NA,NA
"2497",2278,3,18,35,47,NA
"2498",2279,28,31,47,NA,NA
"2499",2280,0,2,46,NA,NA
"2500",2281,5,17,20,22,NA
"2501",2282,10,42,45,NA,NA
"2502",2283,11,20,36,NA,NA
"2503",2284,10,45,NA,NA,NA
"2504",2285,6,19,30,46,NA
"2505",2286,9,39,40,49,NA
"2506",2287,14,21,24,25,37
"2507",43,44,NA,NA,NA,NA
"2508",2288,3,6,27,28,NA
"2509",2289,12,24,47,NA,NA
"2510",2290,1,10,29,NA,NA
"2511",2291,15,24,29,31,45
"2512",2292,9,12,NA,NA,NA
"2513",2293,5,8,NA,NA,NA
"2514",2294,45,NA,NA,NA,NA
"2515",2295,3,33,36,42,48
"2516",2296,7,15,49,NA,NA
"2517",2297,31,NA,NA,NA,NA
"2518",2298,20,27,28,44,NA
"2519",2299,0,2,41,46,NA
"2520",2300,12,31,36,48,NA
"2521",2301,2,8,12,NA,NA
"2522",2302,40,42,NA,NA,NA
"2523",2303,3,18,35,NA,NA
"2524",2304,38,46,47,NA,NA
"2525",2305,28,34,40,NA,NA
"2526",2306,14,44,46,NA,NA
"2527",2307,16,32,NA,NA,NA
"2528",2308,16,32,NA,NA,NA
"2529",2309,3,18,22,35,NA
"2530",2310,33,42,NA,NA,NA
"2531",2311,30,49,NA,NA,NA
"2532",2312,2,14,23,36,44
"2533",2313,12,31,36,NA,NA
"2534",2314,0,25,NA,NA,NA
"2535",2315,41,NA,NA,NA,NA
"2536",2316,33,42,NA,NA,NA
"2537",2317,33,42,NA,NA,NA
"2538",2318,3,27,28,43,NA
"2539",2319,11,12,17,23,24
"2540",40,41,43,NA,NA,NA
"2541",2320,0,2,46,NA,NA
"2542",2321,21,45,NA,NA,NA
"2543",2322,15,24,NA,NA,NA
"2544",2323,4,9,NA,NA,NA
"2545",2324,6,13,18,20,26
"2546",40,NA,NA,NA,NA,NA
"2547",2325,23,24,40,41,43
"2548",2326,9,12,40,NA,NA
"2549",2327,4,7,11,13,20
"2550",30,37,45,NA,NA,NA
"2551",2328,7,15,49,NA,NA
"2552",2329,16,32,45,NA,NA
"2553",2330,13,14,40,NA,NA
"2554",2331,6,10,32,41,43
"2555",2332,6,17,47,NA,NA
"2556",2333,0,22,27,NA,NA
"2557",2334,8,24,29,43,NA
"2558",2335,14,31,35,39,44
"2559",2336,8,34,36,NA,NA
"2560",2337,5,46,NA,NA,NA
"2561",2338,6,26,NA,NA,NA
"2562",2339,3,18,35,NA,NA
"2563",2340,4,8,NA,NA,NA
"2564",2341,31,NA,NA,NA,NA
"2565",2342,12,16,32,40,45
"2566",2343,12,28,32,NA,NA
"2567",2344,30,36,45,NA,NA
"2568",2345,0,2,46,NA,NA
"2569",2346,20,31,35,NA,NA
"2570",2347,17,47,NA,NA,NA
"2571",2348,23,24,40,41,43
"2572",2349,25,32,NA,NA,NA
"2573",2350,8,14,15,26,44
"2574",2351,3,21,26,NA,NA
"2575",2352,2,9,14,17,28
"2576",31,45,NA,NA,NA,NA
"2577",2353,8,27,28,NA,NA
"2578",2354,0,2,13,43,46
"2579",2355,15,16,25,32,43
"2580",45,NA,NA,NA,NA,NA
"2581",2356,3,4,16,20,22
"2582",42,NA,NA,NA,NA,NA
"2583",2357,0,2,46,NA,NA
"2584",2358,6,12,14,25,31
"2585",36,48,NA,NA,NA,NA
"2586",2359,7,11,37,45,NA
"2587",2360,15,20,NA,NA,NA
"2588",2361,24,37,40,45,NA
"2589",2362,7,15,49,NA,NA
"2590",2363,11,25,40,41,NA
"2591",2364,4,20,36,NA,NA
"2592",2365,4,13,20,22,29
"2593",2366,1,34,40,NA,NA
"2594",2367,27,28,NA,NA,NA
"2595",2368,27,28,NA,NA,NA
"2596",2369,38,NA,NA,NA,NA
"2597",2370,1,12,31,32,36
"2598",48,NA,NA,NA,NA,NA
"2599",2371,16,19,NA,NA,NA
"2600",2372,1,10,11,15,20
"2601",31,44,47,NA,NA,NA
"2602",2373,0,2,46,NA,NA
"2603",2374,29,33,45,NA,NA
"2604",2375,2,47,NA,NA,NA
"2605",2376,23,24,40,41,43
"2606",2377,21,NA,NA,NA,NA
"2607",2378,1,11,17,NA,NA
"2608",2379,5,22,NA,NA,NA
"2609",2380,0,2,27,43,46
"2610",2381,14,22,26,30,35
"2611",2382,17,29,47,NA,NA
"2612",2383,23,24,40,41,43
"2613",2384,5,8,14,20,22
"2614",42,43,NA,NA,NA,NA
"2615",2385,17,29,47,49,NA
"2616",2386,7,15,36,NA,NA
"2617",2387,4,9,14,NA,NA
"2618",2388,5,27,28,35,39
"2619",42,48,NA,NA,NA,NA
"2620",2389,7,15,49,NA,NA
"2621",2390,12,16,36,43,46
"2622",2391,28,40,NA,NA,NA
"2623",2392,0,2,46,47,NA
"2624",2393,20,NA,NA,NA,NA
"2625",2394,15,23,27,28,29
"2626",41,46,NA,NA,NA,NA
"2627",2395,1,19,26,NA,NA
"2628",2396,17,29,35,47,NA
"2629",2397,5,22,NA,NA,NA
"2630",2398,19,NA,NA,NA,NA
"2631",2399,14,15,NA,NA,NA
"2632",2400,44,46,NA,NA,NA
"2633",2401,11,34,NA,NA,NA
"2634",2402,7,15,49,NA,NA
"2635",2403,0,4,6,NA,NA
"2636",2404,10,45,NA,NA,NA
"2637",2405,10,NA,NA,NA,NA
"2638",2406,2,5,7,11,37
"2639",45,NA,NA,NA,NA,NA
"2640",2407,12,31,36,48,NA
"2641",2408,3,18,35,NA,NA
"2642",2409,30,41,NA,NA,NA
"2643",2410,12,30,45,NA,NA
"2644",2411,9,23,42,NA,NA
"2645",2412,3,38,43,NA,NA
"2646",2413,15,28,49,NA,NA
"2647",2414,1,29,33,42,NA
"2648",2415,17,26,29,43,47
"2649",2416,14,44,NA,NA,NA
"2650",2417,15,27,28,NA,NA
"2651",2418,4,13,17,38,48
"2652",2419,4,9,NA,NA,NA
"2653",2420,1,12,14,31,36
"2654",45,48,NA,NA,NA,NA
"2655",2421,13,41,NA,NA,NA
"2656",2422,29,49,NA,NA,NA
"2657",2423,4,9,46,NA,NA
"2658",2424,5,22,NA,NA,NA
"2659",2425,23,24,40,41,43
"2660",2426,16,25,32,40,41
"2661",2427,0,27,28,44,NA
"2662",2428,0,4,22,27,46
"2663",2429,7,15,49,NA,NA
"2664",2430,9,32,37,49,NA
"2665",2431,3,18,25,31,35
"2666",2432,23,24,40,41,43
"2667",2433,5,16,22,29,33
"2668",42,NA,NA,NA,NA,NA
"2669",2434,0,4,10,24,27
"2670",30,NA,NA,NA,NA,NA
"2671",2435,14,44,NA,NA,NA
"2672",2436,12,38,NA,NA,NA
"2673",2437,7,32,40,NA,NA
"2674",2438,40,NA,NA,NA,NA
"2675",2439,8,9,12,16,41
"2676",2440,0,2,46,NA,NA
"2677",2441,5,21,22,25,NA
"2678",2442,1,8,23,24,40
"2679",41,NA,NA,NA,NA,NA
"2680",2443,7,22,26,NA,NA
"2681",2444,4,9,34,NA,NA
"2682",2445,3,5,22,45,NA
"2683",2446,23,24,40,41,43
"2684",2447,3,10,16,19,NA
"2685",2448,7,19,21,26,44
"2686",2449,1,19,35,NA,NA
"2687",2450,3,18,35,NA,NA
"2688",2451,5,30,NA,NA,NA
"2689",2452,24,27,34,42,47
"2690",2453,7,15,49,NA,NA
"2691",2454,7,11,20,37,45
"2692",49,NA,NA,NA,NA,NA
"2693",2455,22,35,47,NA,NA
"2694",2456,16,31,37,NA,NA
"2695",2457,1,3,9,11,20
"2696",27,43,NA,NA,NA,NA
"2697",2458,1,18,34,36,NA
"2698",2459,29,NA,NA,NA,NA
"2699",2460,33,42,NA,NA,NA
"2700",2461,12,14,37,NA,NA
"2701",2462,33,42,NA,NA,NA
"2702",2463,13,23,27,28,NA
"2703",2464,7,11,37,45,48
"2704",2465,13,17,29,47,NA
"2705",2466,7,11,37,45,NA
"2706",2467,23,24,40,41,NA
"2707",2468,11,22,25,29,33
"2708",45,NA,NA,NA,NA,NA
"2709",2469,4,30,37,39,44
"2710",2470,2,28,36,NA,NA
"2711",2471,27,28,40,44,NA
"2712",2472,4,8,9,15,23
"2713",28,32,41,NA,NA,NA
"2714",2473,16,32,45,NA,NA
"2715",2474,23,30,32,48,NA
"2716",2475,19,32,42,46,49
"2717",2476,3,5,15,17,24
"2718",45,NA,NA,NA,NA,NA
"2719",2477,7,12,30,33,38
"2720",39,NA,NA,NA,NA,NA
"2721",2478,0,10,NA,NA,NA
"2722",2479,2,33,42,NA,NA
"2723",2480,3,4,8,14,25
"2724",27,34,47,NA,NA,NA
"2725",2481,1,15,19,23,40
"2726",42,47,NA,NA,NA,NA
"2727",2482,7,11,37,45,NA
"2728",2483,14,23,27,44,NA
"2729",2484,23,24,40,41,43
"2730",2485,5,22,25,42,NA
"2731",2486,29,42,NA,NA,NA
"2732",2487,17,NA,NA,NA,NA
"2733",2488,5,22,24,NA,NA
"2734",2489,1,30,40,47,NA
"2735",2490,14,26,39,NA,NA
"2736",2491,10,47,NA,NA,NA
"2737",2492,4,30,31,38,NA
"2738",2493,3,33,42,NA,NA
"2739",2494,5,32,43,44,49
"2740",2495,12,38,48,NA,NA
"2741",2496,1,10,22,38,NA
"2742",2497,20,NA,NA,NA,NA
"2743",2498,7,41,NA,NA,NA
"2744",2499,25,29,35,NA,NA
"2745",2500,14,27,28,49,NA
"2746",2501,33,42,45,48,NA
"2747",2502,14,30,42,NA,NA
"2748",2503,17,32,43,47,NA
"2749",2504,36,37,NA,NA,NA
"2750",2505,4,9,48,NA,NA
"2751",2506,5,22,NA,NA,NA
"2752",2507,7,11,37,45,NA
"2753",2508,16,32,45,NA,NA
"2754",2509,6,17,28,30,34
"2755",37,48,NA,NA,NA,NA
"2756",2510,4,27,28,40,NA
"2757",2511,4,16,22,34,NA
"2758",2512,7,15,29,49,NA
"2759",2513,12,31,36,48,NA
"2760",2514,0,2,32,46,NA
"2761",2515,5,27,39,46,NA
"2762",2516,3,18,35,NA,NA
"2763",2517,5,22,40,NA,NA
"2764",2518,8,24,43,44,NA
"2765",2519,13,15,27,NA,NA
"2766",2520,4,20,31,40,NA
"2767",2521,25,34,41,NA,NA
"2768",2522,7,9,15,34,49
"2769",2523,12,31,36,39,48
"2770",2524,14,44,NA,NA,NA
"2771",2525,9,17,27,28,NA
"2772",2526,15,20,28,NA,NA
"2773",2527,27,28,NA,NA,NA
"2774",2528,1,19,20,22,40
"2775",2529,17,18,35,NA,NA
"2776",2530,23,24,40,41,43
"2777",2531,10,19,20,34,NA
"2778",2532,4,16,30,NA,NA
"2779",2533,17,27,28,35,NA
"2780",2534,4,7,9,36,44
"2781",2535,7,11,37,45,NA
"2782",2536,13,14,37,NA,NA
"2783",2537,4,22,29,NA,NA
"2784",2538,8,23,48,NA,NA
"2785",2539,9,37,NA,NA,NA
"2786",2540,14,22,NA,NA,NA
"2787",2541,0,1,4,9,29
"2788",43,47,NA,NA,NA,NA
"2789",2542,16,32,38,41,45
"2790",46,NA,NA,NA,NA,NA
"2791",2543,21,33,44,NA,NA
"2792",2544,4,5,14,23,25
"2793",44,NA,NA,NA,NA,NA
"2794",2545,19,49,NA,NA,NA
"2795",2546,18,22,NA,NA,NA
"2796",2547,5,33,44,46,NA
"2797",2548,20,33,42,NA,NA
"2798",2549,1,2,7,15,49
"2799",2550,16,29,32,NA,NA
"2800",2551,5,9,19,45,NA
"2801",2552,1,3,5,25,33
"2802",47,NA,NA,NA,NA,NA
"2803",2553,1,6,NA,NA,NA
"2804",2554,5,12,16,49,NA
"2805",2555,2,12,17,24,38
"2806",2556,3,9,15,NA,NA
"2807",2557,12,31,36,NA,NA
"2808",2558,23,24,40,41,43
"2809",2559,2,22,NA,NA,NA
"2810",2560,17,47,NA,NA,NA
"2811",2561,4,5,7,28,42
"2812",43,45,47,NA,NA,NA
"2813",2562,13,40,45,NA,NA
"2814",2563,5,23,35,NA,NA
"2815",2564,9,26,38,NA,NA
"2816",2565,6,46,NA,NA,NA
"2817",2566,33,42,NA,NA,NA
"2818",2567,5,7,23,28,NA
"2819",2568,33,42,NA,NA,NA
"2820",2569,3,5,9,28,31
"2821",2570,33,42,NA,NA,NA
"2822",2571,4,9,11,28,44
"2823",2572,42,46,NA,NA,NA
"2824",2573,6,11,18,32,35
"2825",2574,9,13,24,34,NA
"2826",2575,2,5,12,22,NA
"2827",2576,19,36,43,45,NA
"2828",2577,4,9,15,26,NA
"2829",2578,22,43,44,NA,NA
"2830",2579,1,19,45,NA,NA
"2831",2580,4,9,10,17,NA
"2832",2581,25,NA,NA,NA,NA
"2833",2582,48,NA,NA,NA,NA
"2834",2583,4,14,34,NA,NA
"2835",2584,9,18,NA,NA,NA
"2836",2585,1,40,48,NA,NA
"2837",2586,1,19,NA,NA,NA
"2838",2587,9,17,29,47,NA
"2839",2588,0,2,46,NA,NA
"2840",2589,16,25,32,47,NA
"2841",2590,8,11,16,24,46
"2842",2591,8,43,47,NA,NA
"2843",2592,4,9,16,NA,NA
"2844",2593,0,18,NA,NA,NA
"2845",2594,40,NA,NA,NA,NA
"2846",2595,4,12,21,35,40
"2847",2596,15,25,32,NA,NA
"2848",2597,5,22,29,32,39
"2849",2598,5,22,NA,NA,NA
"2850",2599,16,32,40,45,NA
"2851",2600,4,19,36,37,NA
"2852",2601,49,NA,NA,NA,NA
"2853",2602,7,15,49,NA,NA
"2854",2603,8,23,33,35,NA
"2855",2604,12,23,27,36,NA
"2856",2605,10,14,38,NA,NA
"2857",2606,2,3,25,39,NA
"2858",2607,17,47,NA,NA,NA
"2859",2608,1,43,49,NA,NA
"2860",2609,14,44,NA,NA,NA
"2861",2610,0,2,12,46,NA
"2862",2611,42,47,NA,NA,NA
"2863",2612,1,5,13,22,NA
"2864",2613,7,15,NA,NA,NA
"2865",2614,16,19,32,NA,NA
"2866",2615,14,44,NA,NA,NA
"2867",2616,4,7,11,14,16
"2868",41,44,47,NA,NA,NA
"2869",2617,0,2,36,46,NA
"2870",2618,9,NA,NA,NA,NA
"2871",2619,8,10,11,12,28
"2872",35,42,49,NA,NA,NA
"2873",2620,7,11,12,27,28
"2874",47,NA,NA,NA,NA,NA
"2875",2621,4,12,16,31,36
"2876",45,NA,NA,NA,NA,NA
"2877",2622,7,11,37,45,NA
"2878",2623,12,31,36,48,NA
"2879",2624,31,32,41,NA,NA
"2880",2625,7,11,37,45,NA
"2881",2626,27,28,NA,NA,NA
"2882",2627,22,46,NA,NA,NA
"2883",2628,32,33,42,NA,NA
"2884",2629,23,24,40,41,43
"2885",2630,3,18,35,NA,NA
"2886",2631,23,24,40,41,43
"2887",2632,4,13,14,44,NA
"2888",2633,4,9,48,NA,NA
"2889",2634,14,44,NA,NA,NA
"2890",2635,14,37,49,NA,NA
"2891",2636,1,22,37,39,41
"2892",2637,9,14,18,37,NA
"2893",2638,1,3,5,9,27
"2894",34,47,NA,NA,NA,NA
"2895",2639,26,34,42,NA,NA
"2896",2640,17,29,47,NA,NA
"2897",2641,16,32,45,NA,NA
"2898",2642,17,22,40,NA,NA
"2899",2643,17,29,47,NA,NA
"2900",2644,2,7,9,13,15
"2901",35,41,NA,NA,NA,NA
"2902",2645,1,33,34,43,NA
"2903",2646,7,15,49,NA,NA
"2904",2647,7,11,24,37,NA
"2905",2648,3,33,42,NA,NA
"2906",2649,13,42,NA,NA,NA
"2907",2650,34,38,48,NA,NA
"2908",2651,12,27,28,NA,NA
"2909",2652,16,24,32,45,48
"2910",2653,3,18,25,38,NA
"2911",2654,5,22,NA,NA,NA
"2912",2655,17,29,47,NA,NA
"2913",2656,16,32,34,41,45
"2914",2657,2,NA,NA,NA,NA
"2915",2658,8,17,27,34,39
"2916",2659,5,10,16,28,33
"2917",38,40,42,NA,NA,NA
"2918",2660,0,17,37,45,47
"2919",2661,23,24,30,32,38
"2920",39,44,NA,NA,NA,NA
"2921",2662,3,22,NA,NA,NA
"2922",2663,18,32,35,NA,NA
"2923",2664,13,22,32,33,NA
"2924",2665,2,7,10,NA,NA
"2925",2666,17,29,47,NA,NA
"2926",2667,7,11,37,NA,NA
"2927",2668,23,24,40,41,43
"2928",2669,41,46,NA,NA,NA
"2929",2670,13,18,22,35,38
"2930",2671,12,31,36,48,NA
"2931",2672,2,18,24,37,NA
"2932",2673,14,35,43,44,NA
"2933",2674,7,35,NA,NA,NA
"2934",2675,5,22,NA,NA,NA
"2935",2676,5,8,18,22,33
"2936",35,NA,NA,NA,NA,NA
"2937",2677,9,30,NA,NA,NA
"2938",2678,45,NA,NA,NA,NA
"2939",2679,33,36,45,NA,NA
"2940",2680,17,29,47,NA,NA
"2941",2681,12,31,36,48,NA
"2942",2682,16,32,45,NA,NA
"2943",2683,3,18,35,NA,NA
"2944",2684,9,34,NA,NA,NA
"2945",2685,3,36,44,NA,NA
"2946",2686,7,32,42,46,NA
"2947",2687,14,37,38,44,NA
"2948",2688,0,11,12,21,31
"2949",36,48,NA,NA,NA,NA
"2950",2689,12,31,36,48,NA
"2951",2690,27,28,30,48,NA
"2952",2691,8,17,25,26,29
"2953",32,NA,NA,NA,NA,NA
"2954",2692,9,45,NA,NA,NA
"2955",2693,17,47,49,NA,NA
"2956",2694,20,26,33,34,38
"2957",2695,26,27,28,32,42
"2958",49,NA,NA,NA,NA,NA
"2959",2696,33,42,NA,NA,NA
"2960",2697,26,27,28,37,NA
"2961",2698,26,39,NA,NA,NA
"2962",2699,16,32,NA,NA,NA
"2963",2700,23,24,40,41,NA
"2964",2701,14,17,44,NA,NA
"2965",2702,26,28,48,NA,NA
"2966",2703,7,25,34,46,48
"2967",2704,1,8,27,32,40
"2968",45,NA,NA,NA,NA,NA
"2969",2705,9,38,39,49,NA
"2970",2706,18,28,34,35,NA
"2971",2707,7,11,37,45,NA
"2972",2708,12,31,36,48,NA
"2973",2709,8,9,20,22,27
"2974",29,33,NA,NA,NA,NA
"2975",2710,0,2,46,NA,NA
"2976",2711,0,25,32,NA,NA
"2977",2712,10,14,16,44,NA
"2978",2713,1,16,19,23,36
"2979",2714,5,22,31,NA,NA
"2980",2715,1,10,31,40,NA
"2981",2716,7,11,37,45,NA
"2982",2717,30,47,NA,NA,NA
"2983",2718,23,24,40,41,43
"2984",2719,20,38,41,43,NA
"2985",2720,14,44,NA,NA,NA
"2986",2721,16,32,33,41,45
"2987",2722,3,8,11,15,42
"2988",2723,7,18,40,NA,NA
"2989",2724,4,9,NA,NA,NA
"2990",2725,16,28,32,35,45
"2991",2726,12,31,36,38,48
"2992",2727,1,17,27,42,NA
"2993",2728,7,15,49,NA,NA
"2994",2729,4,20,49,NA,NA
"2995",2730,5,8,21,30,32
"2996",35,47,NA,NA,NA,NA
"2997",2731,25,30,NA,NA,NA
"2998",2732,22,27,NA,NA,NA
"2999",2733,3,6,16,17,18
"3000",31,NA,NA,NA,NA,NA
"3001",2734,14,33,42,NA,NA
"3002",2735,5,16,22,NA,NA
"3003",2736,17,29,47,NA,NA
"3004",2737,7,11,37,45,NA
"3005",2738,16,32,45,NA,NA
"3006",2739,5,NA,NA,NA,NA
"3007",2740,7,15,49,NA,NA
"3008",2741,12,31,36,48,NA
"3009",2742,32,41,NA,NA,NA
"3010",2743,27,28,NA,NA,NA
"3011",2744,14,33,44,NA,NA
"3012",2745,3,4,9,NA,NA
"3013",2746,4,8,9,35,41
"3014",2747,23,48,NA,NA,NA
"3015",2748,16,32,43,45,NA
"3016",2749,32,35,NA,NA,NA
"3017",2750,42,NA,NA,NA,NA
"3018",2751,22,40,46,NA,NA
"3019",2752,7,11,37,45,NA
"3020",2753,23,24,40,41,43
"3021",2754,38,44,49,NA,NA
"3022",2755,3,6,8,29,33
"3023",2756,2,NA,NA,NA,NA
"3024",2757,33,35,44,NA,NA
"3025",2758,12,23,37,NA,NA
"3026",2759,3,13,16,NA,NA
"3027",2760,9,16,32,37,45
"3028",2761,14,40,44,NA,NA
"3029",2762,7,9,14,44,NA
"3030",2763,11,22,30,42,46
"3031",2764,4,19,46,NA,NA
"3032",2765,4,8,12,26,41
"3033",43,NA,NA,NA,NA,NA
"3034",2766,17,29,47,NA,NA
"3035",2767,5,8,22,NA,NA
"3036",2768,0,2,25,46,NA
"3037",2769,17,29,47,NA,NA
"3038",2770,8,11,37,40,NA
"3039",2771,6,14,20,44,45
"3040",2772,1,19,24,NA,NA
"3041",2773,7,15,49,NA,NA
"3042",2774,5,8,14,21,24
"3043",34,39,41,NA,NA,NA
"3044",2775,7,11,37,45,NA
"3045",2776,14,37,44,NA,NA
"3046",2777,5,11,22,49,NA
"3047",2778,7,11,37,NA,NA
"3048",2779,7,15,30,33,49
"3049",2780,27,28,44,46,NA
"3050",2781,14,25,31,NA,NA
"3051",2782,4,15,48,NA,NA
"3052",2783,23,24,40,41,NA
"3053",2784,33,42,47,NA,NA
"3054",2785,6,21,23,28,48
"3055",2786,5,7,15,49,NA
"3056",2787,19,27,35,36,NA
"3057",2788,33,41,42,NA,NA
"3058",2789,16,20,21,23,38
"3059",43,NA,NA,NA,NA,NA
"3060",2790,34,NA,NA,NA,NA
"3061",2791,18,28,32,33,NA
"3062",2792,5,8,22,36,NA
"3063",2793,3,11,18,35,43
"3064",2794,7,15,25,31,41
"3065",43,48,49,NA,NA,NA
"3066",2795,37,38,NA,NA,NA
"3067",2796,12,31,36,48,NA
"3068",2797,3,18,35,NA,NA
"3069",2798,4,21,28,29,40
"3070",2799,1,19,25,41,NA
"3071",2800,0,7,15,NA,NA
"3072",2801,0,2,6,46,NA
"3073",2802,7,15,21,38,NA
"3074",2803,6,14,28,40,NA
"3075",2804,9,11,25,26,41
"3076",48,NA,NA,NA,NA,NA
"3077",2805,14,44,NA,NA,NA
"3078",2806,27,28,NA,NA,NA
"3079",2807,3,18,28,35,NA
"3080",2808,0,5,NA,NA,NA
"3081",2809,4,9,NA,NA,NA
"3082",2810,14,16,34,42,NA
"3083",2811,10,32,40,43,NA
"3084",2812,14,44,49,NA,NA
"3085",2813,3,11,18,35,38
